epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,49,,11.402078628540039,,
0,99,,9.668479919433594,,
0,149,,8.293840408325195,,
0,199,,6.032684803009033,,
0,249,,4.868047714233398,,
0,299,,5.771031856536865,,
0,349,,4.585322380065918,,
0,399,,3.5139670372009277,,
0,449,,4.372305393218994,,
0,499,,3.646104335784912,,
0,549,,4.483129501342773,,
0,599,,4.940608024597168,,
0,649,,4.193530559539795,,
0,699,,4.234545707702637,,
0,749,,3.268434524536133,,
0,799,,3.7431845664978027,,
0,849,,3.0594005584716797,,
0,899,,3.001478910446167,,
0,949,,3.8963072299957275,,
0,999,,3.7814486026763916,,
0,1049,,2.8812553882598877,,
0,1099,,3.463768482208252,,
0,1149,,3.755530834197998,,
0,1199,,3.810991048812866,,
0,1249,,3.562812328338623,,
0,1299,,2.926217794418335,,
0,1349,,3.253138780593872,,
0,1399,,3.45117449760437,,
0,1449,,3.5505480766296387,,
0,1499,,3.141414165496826,,
0,1549,,2.8268253803253174,,
0,1599,,2.9964654445648193,,
0,1649,,3.2688164710998535,,
0,1699,,2.7753028869628906,,
0,1749,,2.760855197906494,,
0,1799,,3.4495625495910645,,
0,1849,,2.5636982917785645,,
0,1899,,2.259387493133545,,
0,1949,,2.8364486694335938,,
0,1999,,2.845390558242798,,
0,2049,,2.9248766899108887,,
0,2099,,3.076531410217285,,
0,2149,,2.9523658752441406,,
0,2199,,2.8677215576171875,,
0,2249,,3.105384349822998,,
0,2299,,3.546726942062378,,
0,2349,,2.9403223991394043,,
0,2399,,2.447695732116699,,
0,2449,,2.578061103820801,,
0,2499,,2.9236063957214355,,
0,2549,,2.528470039367676,,
0,2599,,2.3614325523376465,,
0,2649,,2.6145591735839844,,
0,2699,,2.790043830871582,,
0,2749,,2.7030632495880127,,
0,2799,,2.7433547973632812,,
0,2849,,2.924727439880371,,
0,2899,,3.1097207069396973,,
0,2949,,2.796083927154541,,
0,2999,,2.471212387084961,,
0,3049,,3.1733126640319824,,
0,3099,,2.958698272705078,,
0,3149,,2.962306022644043,,
0,3199,,2.7904906272888184,,
0,3249,,2.8061013221740723,,
0,3299,,2.718507766723633,,
0,3349,,2.571840763092041,,
0,3399,,2.9811015129089355,,
0,3449,,2.3581995964050293,,
0,3499,,2.4208977222442627,,
0,3549,,2.7222375869750977,,
0,3599,,2.8938634395599365,,
0,3649,,3.0186731815338135,,
0,3699,,2.5817320346832275,,
0,3749,,2.2782483100891113,,
0,3799,,2.9274139404296875,,
0,3849,,3.1596713066101074,,
0,3899,,2.3506555557250977,,
0,3949,,2.83955717086792,,
0,3999,,2.3363585472106934,,
0,4049,,2.3959062099456787,,
0,4099,,2.576077938079834,,
0,4149,,2.7160463333129883,,
0,4199,,2.9555797576904297,,
0,4249,,2.618359327316284,,
0,4299,,3.0120863914489746,,
0,4349,,3.0197339057922363,,
0,4399,,3.0478076934814453,,
0,4449,,2.989508867263794,,
0,4499,,2.479841470718384,,
0,4549,,2.325144052505493,,
0,4599,,2.2704555988311768,,
0,4649,,3.0108542442321777,,
0,4699,,2.621028184890747,,
0,4749,,2.4954071044921875,,
0,4799,,2.1750717163085938,,
0,4849,,2.4215784072875977,,
0,4899,,2.692429780960083,,
0,4949,,2.5201995372772217,,
0,4999,,2.270688533782959,,
0,5049,,2.636754274368286,,
0,5099,,2.6406426429748535,,
0,5149,,2.4347734451293945,,
0,5199,,2.6139585971832275,,
0,5249,,2.859923839569092,,
0,5299,,2.5801291465759277,,
0,5349,,2.6994032859802246,,
0,5399,,2.2153725624084473,,
0,5449,,2.988156318664551,,
0,5499,,2.295572280883789,,
0,5549,,2.4009153842926025,,
0,5599,,2.472506284713745,,
0,5649,,3.0721354484558105,,
0,5699,,2.5289902687072754,,
,0,,,,2.315281867980957
,1,,,,2.287014961242676
,2,,,,2.4347639083862305
,3,,,,3.096944808959961
,4,,,,2.530977487564087
,5,,,,2.297739028930664
,6,,,,2.2827277183532715
,7,,,,2.7859878540039062
,8,,,,2.6611342430114746
,9,,,,2.541414260864258
,10,,,,2.6317481994628906
,11,,,,2.2194056510925293
,12,,,,2.448070526123047
,13,,,,2.45267391204834
,14,,,,2.373807191848755
,15,,,,2.5933547019958496
,16,,,,2.323734998703003
,17,,,,2.616203784942627
,18,,,,2.334606647491455
,19,,,,2.65958309173584
,20,,,,2.795234203338623
,21,,,,2.9848923683166504
,22,,,,2.615609884262085
,23,,,,2.558079242706299
,24,,,,2.7705159187316895
,25,,,,2.4363584518432617
