epoch,step,test_loss_epoch,test_loss_step
,0,,17.521060943603516
,1,,15.802230834960938
,2,,15.355846405029297
,3,,16.87582015991211
,4,,16.176069259643555
,5,,17.679908752441406
,6,,14.051896095275879
,7,,16.95353889465332
,8,,15.865251541137695
,9,,16.98454475402832
,10,,17.266124725341797
,11,,17.6341552734375
,12,,16.822288513183594
,13,,16.844558715820312
,14,,14.620115280151367
,15,,16.27292251586914
,16,,17.334060668945312
,17,,15.560517311096191
,18,,14.145437240600586
,19,,16.4918212890625
,20,,17.202112197875977
,21,,16.716947555541992
,22,,16.954059600830078
,23,,15.75190544128418
,24,,15.491180419921875
,25,,16.471393585205078
,26,,18.327478408813477
,27,,16.269428253173828
,28,,17.288410186767578
,29,,17.36900520324707
,30,,17.714759826660156
,31,,16.72966957092285
,32,,14.614468574523926
,33,,16.95147705078125
,34,,16.5667667388916
,35,,16.671066284179688
,36,,16.59113883972168
,37,,15.316694259643555
,38,,17.31244659423828
,39,,16.816452026367188
,40,,16.51974105834961
,41,,16.692140579223633
,42,,15.977499008178711
,43,,18.009923934936523
,44,,13.681158065795898
,45,,16.796573638916016
,46,,16.795143127441406
,47,,15.91454792022705
,48,,16.495620727539062
,49,,19.178794860839844
,50,,16.319499969482422
,51,,17.484573364257812
,52,,17.531356811523438
,53,,17.435884475708008
,54,,17.595504760742188
,55,,16.604829788208008
,56,,16.89763641357422
,57,,17.14824676513672
,58,,17.014129638671875
,59,,14.31083869934082
,60,,15.650386810302734
,61,,15.422680854797363
,62,,14.549617767333984
,63,,16.446590423583984
,64,,16.842395782470703
,65,,14.838205337524414
,66,,15.799842834472656
,67,,18.03463363647461
,68,,17.79218292236328
,69,,16.515628814697266
,70,,14.96318531036377
,71,,18.709569931030273
0,0,16.4971981048584,
