epoch,step,test_loss_epoch,test_loss_step
,0,,17.467552185058594
,1,,18.162750244140625
,2,,18.787471771240234
,3,,16.260435104370117
,4,,16.17691993713379
,5,,15.949071884155273
,6,,17.979164123535156
,7,,17.135299682617188
,8,,17.779441833496094
,9,,15.316617965698242
,10,,18.12291717529297
,11,,15.936236381530762
,12,,16.23023796081543
,13,,17.37232208251953
,14,,15.14560317993164
,15,,16.807052612304688
,16,,16.886661529541016
,17,,15.978322982788086
,18,,16.357412338256836
,19,,17.66927719116211
,20,,16.69139289855957
,21,,17.23923110961914
,22,,16.523921966552734
,23,,15.391448974609375
,24,,16.78766632080078
,25,,16.174922943115234
,26,,18.19894027709961
,27,,16.508695602416992
,28,,16.286388397216797
,29,,14.742021560668945
,30,,16.851242065429688
,31,,15.019145011901855
,32,,15.653002738952637
,33,,14.619318962097168
,34,,17.857223510742188
,35,,15.90723705291748
,36,,17.043947219848633
,37,,15.573892593383789
,38,,17.24114227294922
,39,,17.884016036987305
,40,,16.71582794189453
,41,,16.054115295410156
,42,,15.547354698181152
,43,,16.58877944946289
,44,,15.332159042358398
,45,,18.526399612426758
,46,,17.187864303588867
,47,,16.218624114990234
,48,,14.998559951782227
,49,,17.521249771118164
,50,,17.03614044189453
,51,,16.12656021118164
,52,,17.051023483276367
,53,,16.954607009887695
,54,,16.24532127380371
,55,,15.370000839233398
,56,,14.602816581726074
,57,,15.928251266479492
,58,,15.98463249206543
,59,,17.82339859008789
,60,,17.44577407836914
,61,,16.7745361328125
,62,,15.345312118530273
,63,,17.19199562072754
,64,,16.714340209960938
,65,,14.916587829589844
,66,,15.407968521118164
,67,,16.570085525512695
,68,,16.93570899963379
,69,,16.2605037689209
,70,,16.461896896362305
,71,,14.55492877960205
0,0,16.520713806152344,
